"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H1u1"	"H1"	"H"	"R0"	"R"
"H1u2"	"H1"	"H"	"R0"	"R"
"H1v"	"H1"	"H"	"R0"	"R"
"H1v1"	"H1"	"H"	"R0"	"R"
"H1v1a"	"H1"	"H"	"R0"	"R"
"H1v1b"	"H1"	"H"	"R0"	"R"
"H1w"	"H1"	"H"	"R0"	"R"
"H1x"	"H1"	"H"	"R0"	"R"
"H1ae"	"H1"	"H"	"R0"	"R"
"H1ae*"	"H1"	"H"	"R0"	"R"
"H1ae1"	"H1"	"H"	"R0"	"R"
"H1ae2"	"H1"	"H"	"R0"	"R"
"H1ae2*"	"H1"	"H"	"R0"	"R"
"H1ae2a"	"H1"	"H"	"R0"	"R"
"H1ae3"	"H1"	"H"	"R0"	"R"
"H1ae3a"	"H1"	"H"	"R0"	"R"
"H1af"	"H1"	"H"	"R0"	"R"
"H1af1"	"H1"	"H"	"R0"	"R"
"H1af1a"	"H1"	"H"	"R0"	"R"
"H1af1b"	"H1"	"H"	"R0"	"R"
"H1af2"	"H1"	"H"	"R0"	"R"
"H1ag"	"H1"	"H"	"R0"	"R"
"H1ag1"	"H1"	"H"	"R0"	"R"
"H1ag1a"	"H1"	"H"	"R0"	"R"
"H1ag1b"	"H1"	"H"	"R0"	"R"
"H1ah"	"H1"	"H"	"R0"	"R"
"H1ah1"	"H1"	"H"	"R0"	"R"
"H1ah2"	"H1"	"H"	"R0"	"R"
"H1ai"	"H1"	"H"	"R0"	"R"
"H1ai1"	"H1"	"H"	"R0"	"R"
"H1aj"	"H1"	"H"	"R0"	"R"
"H1aj1"	"H1"	"H"	"R0"	"R"
"H1aj1a"	"H1"	"H"	"R0"	"R"
"H1ak"	"H1"	"H"	"R0"	"R"
"H1ak1"	"H1"	"H"	"R0"	"R"
"H1ak2"	"H1"	"H"	"R0"	"R"
"H1am"	"H1"	"H"	"R0"	"R"
"H1am1"	"H1"	"H"	"R0"	"R"
"H1+16278"	"H1"	"H"	"R0"	"R"
"H1ao"	"H1"	"H"	"R0"	"R"
"H1ao1"	"H1"	"H"	"R0"	"R"
"H1cg"	"H1"	"H"	"R0"	"R"
"H1ap"	"H1"	"H"	"R0"	"R"
"H1ap1"	"H1"	"H"	"R0"	"R"
"H1aq"	"H1"	"H"	"R0"	"R"
"H1aq1"	"H1"	"H"	"R0"	"R"
"H1ar"	"H1"	"H"	"R0"	"R"
"H1ar*"	"H1"	"H"	"R0"	"R"
"H1ar1"	"H1"	"H"	"R0"	"R"
"H1as"	"H1"	"H"	"R0"	"R"
"H1as*"	"H1"	"H"	"R0"	"R"
"H1as1"	"H1"	"H"	"R0"	"R"
"H1as1a"	"H1"	"H"	"R0"	"R"
"H1as2"	"H1"	"H"	"R0"	"R"
"H1at"	"H1"	"H"	"R0"	"R"
"H1at1"	"H1"	"H"	"R0"	"R"
"H1at1a"	"H1"	"H"	"R0"	"R"
"H1au"	"H1"	"H"	"R0"	"R"
"H1au1"	"H1"	"H"	"R0"	"R"
"H1au1a"	"H1"	"H"	"R0"	"R"
"H1au1b"	"H1"	"H"	"R0"	"R"
"H1av"	"H1"	"H"	"R0"	"R"
"H1av1"	"H1"	"H"	"R0"	"R"
"H1av1a"	"H1"	"H"	"R0"	"R"
"H1aw"	"H1"	"H"	"R0"	"R"
"H1aw1"	"H1"	"H"	"R0"	"R"
"H1ax"	"H1"	"H"	"R0"	"R"
"H1ax1"	"H1"	"H"	"R0"	"R"
"H1ay"	"H1"	"H"	"R0"	"R"
"H1ay*1"	"H1"	"H"	"R0"	"R"
"H1ay*2"	"H1"	"H"	"R0"	"R"
"H1az"	"H1"	"H"	"R0"	"R"
"H1ba"	"H1"	"H"	"R0"	"R"
"H1ba1"	"H1"	"H"	"R0"	"R"
"H1bc"	"H1"	"H"	"R0"	"R"
"H1bc*"	"H1"	"H"	"R0"	"R"
"H1bd"	"H1"	"H"	"R0"	"R"
"H1be"	"H1"	"H"	"R0"	"R"
"H1+16239"	"H1"	"H"	"R0"	"R"
"H1bf"	"H1"	"H"	"R0"	"R"
"H1bf1"	"H1"	"H"	"R0"	"R"
"H1bg"	"H1"	"H"	"R0"	"R"
"H1bh"	"H1"	"H"	"R0"	"R"
"H1ch"	"H1"	"H"	"R0"	"R"
"H1bi"	"H1"	"H"	"R0"	"R"
"H1bj"	"H1"	"H"	"R0"	"R"
"H1bk"	"H1"	"H"	"R0"	"R"
"H1bm"	"H1"	"H"	"R0"	"R"
"H1bn"	"H1"	"H"	"R0"	"R"
"H1bo"	"H1"	"H"	"R0"	"R"
"H1bp"	"H1"	"H"	"R0"	"R"
"H1bq"	"H1"	"H"	"R0"	"R"
"H1br"	"H1"	"H"	"R0"	"R"
"H1bs"	"H1"	"H"	"R0"	"R"
"H1bs*"	"H1"	"H"	"R0"	"R"
"H1bt"	"H1"	"H"	"R0"	"R"
"H1bt1"	"H1"	"H"	"R0"	"R"
"H1bu"	"H1"	"H"	"R0"	"R"
"H1bv"	"H1"	"H"	"R0"	"R"
"H1bv1"	"H1"	"H"	"R0"	"R"
"H1bw"	"H1"	"H"	"R0"	"R"
"H1bx"	"H1"	"H"	"R0"	"R"
"H1bz"	"H1"	"H"	"R0"	"R"
"H1ca"	"H1"	"H"	"R0"	"R"
"H1+16311"	"H1"	"H"	"R0"	"R"
"H1cd"	"H1"	"H"	"R0"	"R"
"H1cf"	"H1"	"H"	"R0"	"R"
"H1ci"	"H1"	"H"	"R0"	"R"
"H1cj"	"H1"	"H"	"R0"	"R"
"H3"	"H3"	"H"	"R0"	"R"
"H3*1"	"H3"	"H"	"R0"	"R"
"H3*2"	"H3"	"H"	"R0"	"R"
"H3+152"	"H3"	"H"	"R0"	"R"
"H3a"	"H3"	"H"	"R0"	"R"
"H3a1"	"H3"	"H"	"R0"	"R"
"H3a1*"	"H3"	"H"	"R0"	"R"
"H3a1a"	"H3"	"H"	"R0"	"R"
"H3g"	"H3"	"H"	"R0"	"R"
"H3g1"	"H3"	"H"	"R0"	"R"
"H3g1a"	"H3"	"H"	"R0"	"R"
"H3g1b"	"H3"	"H"	"R0"	"R"
"H3g2"	"H3"	"H"	"R0"	"R"
"H3g3"	"H3"	"H"	"R0"	"R"
"H3g4"	"H3"	"H"	"R0"	"R"
"H3i"	"H3"	"H"	"R0"	"R"
